epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8171,0.70018,3.93994,1.01842,0.00365,0.93333,0.13834,0.12659,0.37921,3.49347,0.78492,1e-05,1e-05,1e-05
2,3.2566,0.73685,3.76089,1.04944,0.00356,0.93333,0.13053,0.11886,0.38238,3.49283,0.78564,2.9703e-05,2.9703e-05,2.9703e-05
3,3.73145,0.68716,3.76207,1.03776,0.00368,0.96667,0.15198,0.13919,0.3492,3.47352,0.77274,4.901e-05,4.901e-05,4.901e-05
4,4.22386,0.64193,3.64062,1.00192,0.00383,0.96667,0.24726,0.22744,0.30173,3.45374,0.75966,6.7921e-05,6.7921e-05,6.7921e-05
5,4.69474,0.54573,3.55679,0.94314,0.00409,0.96667,0.35215,0.32469,0.33666,3.42976,0.77143,8.6436e-05,8.6436e-05,8.6436e-05
6,5.16832,0.52386,3.35758,0.90701,0.00471,1,0.38925,0.34968,0.40107,3.402,0.78641,0.000104555,0.000104555,0.000104555
7,5.64107,0.56334,3.17482,0.93653,0.00561,1,0.40814,0.35985,0.33712,3.36442,0.76888,0.000122278,0.000122278,0.000122278
8,6.12967,0.47607,2.89395,0.87988,0.00662,1,0.42333,0.38544,0.3325,3.28998,0.75748,0.000139605,0.000139605,0.000139605
9,6.59669,0.50832,2.64884,0.884,0.00708,1,0.40327,0.36997,0.3356,3.23784,0.75331,0.000156536,0.000156536,0.000156536
10,7.05056,0.64977,2.64203,1.01462,0.00763,1,0.43546,0.39699,0.33327,3.15705,0.75179,0.000173071,0.000173071,0.000173071
11,7.51843,0.49409,2.42586,0.92563,0.00839,1,0.41395,0.38415,0.32851,3.06179,0.7466,0.00018921,0.00018921,0.00018921
12,7.97447,0.52132,2.13683,0.89729,0.00939,1,0.45636,0.41355,0.35826,2.94342,0.75147,0.000204953,0.000204953,0.000204953
13,8.44772,0.59526,2.22754,0.95639,0.76548,0.12164,0.50949,0.46593,0.39162,2.81794,0.75819,0.0002203,0.0002203,0.0002203
14,8.91307,0.548,2.28983,0.93964,1,0.0634,0.52333,0.48582,0.3611,2.71585,0.75474,0.000235251,0.000235251,0.000235251
15,9.38041,0.44946,2.00783,0.88616,1,0.06323,0.54761,0.51673,0.33854,2.66995,0.7496,0.000249806,0.000249806,0.000249806
16,9.84635,0.59458,1.90862,0.98833,0.9478,0.03736,0.58869,0.55597,0.33909,2.68012,0.74964,0.000263965,0.000263965,0.000263965
17,10.3172,0.48933,1.82019,0.87241,0.18114,0.83018,0.64686,0.59942,0.35924,2.68833,0.75509,0.000277728,0.000277728,0.000277728
18,10.799,0.61031,1.82602,1.00544,0.85786,0.08625,0.64971,0.60679,0.36029,2.65243,0.76538,0.000291095,0.000291095,0.000291095
19,11.2717,0.64811,1.76756,1.00291,0.99506,0.16667,0.68811,0.63231,0.33066,2.59303,0.76022,0.000304066,0.000304066,0.000304066
20,11.7373,0.61812,1.63436,0.95792,0.96202,0.23333,0.75494,0.71228,0.3143,2.50019,0.75603,0.000316641,0.000316641,0.000316641
21,12.2149,0.57144,1.63478,0.96049,0.94999,0.3279,0.79599,0.75046,0.32909,2.33923,0.75735,0.00032882,0.00032882,0.00032882
22,12.6778,0.4495,1.50318,0.91044,0.94013,0.5193,0.83325,0.77763,0.32867,2.17872,0.75502,0.000340603,0.000340603,0.000340603
23,13.1462,0.50511,1.47619,0.8963,0.94927,0.73019,0.84542,0.77081,0.31781,2.01257,0.75183,0.00035199,0.00035199,0.00035199
24,13.6071,0.48203,1.40172,0.88269,0.96,0.74545,0.84246,0.77455,0.35987,1.90498,0.76102,0.000362981,0.000362981,0.000362981
25,14.0707,0.45055,1.39914,0.90509,0.94736,0.7542,0.835,0.76971,0.34283,1.89789,0.76135,0.000373576,0.000373576,0.000373576
26,14.5396,0.57198,1.33227,0.93882,0.95283,0.72048,0.848,0.80446,0.31286,1.92739,0.75857,0.000383775,0.000383775,0.000383775
27,15.0071,0.50313,1.28616,0.87611,0.93686,0.74373,0.89871,0.8674,0.30234,1.84166,0.76959,0.000393578,0.000393578,0.000393578
28,15.4697,0.43787,1.16668,0.88137,0.93686,0.74373,0.89871,0.8674,0.30234,1.84166,0.76959,0.000402985,0.000402985,0.000402985
29,15.9382,0.48219,1.16633,0.94514,0.94024,0.77336,0.96583,0.93933,0.31477,1.71194,0.77093,0.000411996,0.000411996,0.000411996
30,16.4118,0.54855,1.44113,0.93451,0.97386,0.815,0.93574,0.88819,0.31973,1.60997,0.75779,0.000420611,0.000420611,0.000420611
31,16.8642,0.4667,1.18485,0.91699,0.97386,0.815,0.93574,0.88819,0.31973,1.60997,0.75779,0.00042883,0.00042883,0.00042883
32,17.3239,0.56225,1.18432,0.95268,0.97281,0.81942,0.87646,0.83027,0.32016,1.53362,0.74683,0.000436653,0.000436653,0.000436653
33,17.7848,0.44475,1.17488,0.89075,0.98186,0.82193,0.88381,0.84476,0.31538,1.4068,0.74079,0.00044408,0.00044408,0.00044408
34,18.2403,0.39568,1.12735,0.86463,0.98186,0.82193,0.88381,0.84476,0.31538,1.4068,0.74079,0.000451111,0.000451111,0.000451111
35,18.7047,0.42642,1.01156,0.87804,0.97487,0.81294,0.94167,0.90771,0.30581,1.26236,0.73593,0.000457746,0.000457746,0.000457746
36,19.1705,0.53194,1.15064,0.93876,0.9401,0.80049,0.95849,0.92524,0.2955,1.18521,0.73373,0.000463985,0.000463985,0.000463985
37,19.6227,0.42321,0.9688,0.86858,0.9401,0.80049,0.95849,0.92524,0.2955,1.18521,0.73373,0.000469828,0.000469828,0.000469828
38,20.084,0.48468,1.3122,0.93902,0.87311,0.83333,0.995,0.96823,0.30226,1.09268,0.74084,0.000475275,0.000475275,0.000475275
39,20.5601,0.51013,1.27292,0.94805,0.87109,0.87302,0.995,0.96214,0.30399,1.05116,0.74779,0.000480326,0.000480326,0.000480326
40,21.0125,0.45782,0.98527,0.93154,0.87109,0.87302,0.995,0.96214,0.30399,1.05116,0.74779,0.000484981,0.000484981,0.000484981
41,21.4692,0.51714,1.07264,0.9356,0.87222,0.87889,0.995,0.97028,0.30058,1.09337,0.75028,0.00048924,0.00048924,0.00048924
42,21.9418,0.49736,1.05504,0.89663,0.87549,0.88482,0.995,0.95078,0.3276,1.07672,0.74847,0.000493103,0.000493103,0.000493103
43,22.3903,0.42454,1.02616,0.85026,0.87549,0.88482,0.995,0.95078,0.3276,1.07672,0.74847,0.00049657,0.00049657,0.00049657
44,22.8525,0.41909,1.06362,0.89477,0.87051,0.95579,0.995,0.95518,0.32884,0.95358,0.74136,0.000499641,0.000499641,0.000499641
45,23.3006,0.47821,1.04524,0.95156,0.87051,0.95579,0.995,0.95518,0.32884,0.95358,0.74136,0.000502316,0.000502316,0.000502316
46,23.7569,0.42349,0.95583,0.86064,0.86334,0.96147,0.995,0.96935,0.29997,0.856,0.74251,0.000504595,0.000504595,0.000504595
