epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0172,0.71622,3.87823,1.01986,0.00372,0.93333,0.1309,0.1194,0.37442,3.69241,0.78392,1e-05,1e-05,1e-05
2,36.2757,0.68274,3.74221,0.98691,0.00376,0.93333,0.16224,0.14697,0.35706,3.68964,0.77511,2.9703e-05,2.9703e-05,2.9703e-05
3,51.3292,0.71325,3.74843,1.06291,0.00401,0.96667,0.18019,0.16384,0.35626,3.6726,0.77106,4.901e-05,4.901e-05,4.901e-05
4,66.4259,0.6384,3.68091,0.99566,0.00432,0.96667,0.22861,0.21204,0.31423,3.63439,0.75955,6.7921e-05,6.7921e-05,6.7921e-05
5,81.5086,0.45911,3.42337,0.91342,0.00505,1,0.32904,0.30337,0.28882,3.59088,0.74916,8.6436e-05,8.6436e-05,8.6436e-05
6,97.0463,0.52788,3.32427,0.92583,0.00632,1,0.379,0.35321,0.27111,3.56862,0.73957,0.000104555,0.000104555,0.000104555
7,112.398,0.57511,3.23269,1.00446,0.00754,1,0.40158,0.37936,0.2887,3.52812,0.74093,0.000122278,0.000122278,0.000122278
8,127.717,0.53004,2.75199,0.91696,0.00833,1,0.41256,0.38378,0.28741,3.45677,0.74287,0.000139605,0.000139605,0.000139605
9,143.695,0.48674,2.53665,0.91311,0.0092,1,0.42341,0.39095,0.30514,3.40896,0.74743,0.000156536,0.000156536,0.000156536
10,158.717,0.44725,2.7198,0.9121,0.01026,1,0.45743,0.41543,0.3376,3.34783,0.75301,0.000173071,0.000173071,0.000173071
11,173.657,0.47296,2.58775,0.91642,0.01202,1,0.47244,0.43024,0.35379,3.28577,0.75643,0.00018921,0.00018921,0.00018921
12,188.636,0.43534,2.13068,0.87913,0.1522,0.90876,0.4809,0.45295,0.33695,3.22327,0.75223,0.000204953,0.000204953,0.000204953
13,203.768,0.52826,2.30413,0.95905,0.94255,0.1,0.53729,0.51168,0.30591,3.16867,0.7437,0.0002203,0.0002203,0.0002203
14,218.926,0.53862,2.28057,0.92898,0.91991,0.14779,0.5652,0.54075,0.29251,3.11108,0.73828,0.000235251,0.000235251,0.000235251
15,233.947,0.49828,2.10817,0.92452,0.83683,0.26667,0.59002,0.55435,0.30383,3.07131,0.73884,0.000249806,0.000249806,0.000249806
16,248.925,0.50299,2.02798,0.95166,0.70161,0.50793,0.6526,0.61388,0.30701,3.0205,0.74117,0.000263965,0.000263965,0.000263965
17,263.962,0.56789,1.85348,0.90688,1,0.14636,0.72617,0.68637,0.30815,3.00144,0.74165,0.000277728,0.000277728,0.000277728
18,279.002,0.46871,1.74146,0.89353,1,0.21405,0.77882,0.72966,0.34448,2.94842,0.75955,0.000291095,0.000291095,0.000291095
19,293.983,0.45049,1.56401,0.87896,0.98374,0.30765,0.78974,0.7133,0.38032,2.89512,0.77983,0.000304066,0.000304066,0.000304066
20,308.887,0.58246,1.6325,0.97433,0.97244,0.38277,0.81309,0.74748,0.36918,2.81965,0.7812,0.000316641,0.000316641,0.000316641
21,323.93,0.54692,1.47484,0.95545,0.97823,0.41381,0.81015,0.78204,0.3305,2.76297,0.77137,0.00032882,0.00032882,0.00032882
22,338.928,0.54383,1.4113,0.93111,0.97601,0.49091,0.82149,0.79293,0.3478,2.69709,0.7736,0.000340603,0.000340603,0.000340603
23,353.92,0.50837,1.3035,0.89629,0.97675,0.65442,0.84845,0.80703,0.37734,2.63373,0.77858,0.00035199,0.00035199,0.00035199
24,368.977,0.52982,1.3429,0.90572,0.90864,0.74153,0.83491,0.77945,0.37697,2.54804,0.77972,0.000362981,0.000362981,0.000362981
25,384.042,0.4611,1.18329,0.87474,0.83979,0.71071,0.84718,0.7763,0.38378,2.50709,0.79083,0.000373576,0.000373576,0.000373576
26,398.969,0.49185,1.17021,0.8739,0.769,0.7036,0.8823,0.77983,0.42073,2.5016,0.81321,0.000383775,0.000383775,0.000383775
27,413.899,0.57072,1.1495,0.94676,0.75302,0.66291,0.88412,0.75854,0.43499,2.47999,0.82224,0.000393578,0.000393578,0.000393578
28,428.82,0.51008,1.25379,0.91632,0.75302,0.66291,0.88412,0.75854,0.43499,2.47999,0.82224,0.000402985,0.000402985,0.000402985
29,443.943,0.45789,1.11895,0.88164,0.7544,0.62448,0.88223,0.75711,0.43719,2.4144,0.83642,0.000411996,0.000411996,0.000411996
30,459.421,0.43503,1.10867,0.87815,0.77639,0.60093,0.86143,0.7663,0.42249,2.53077,0.87,0.000420611,0.000420611,0.000420611
31,475.563,0.57912,1.19544,0.94026,0.77639,0.60093,0.86143,0.7663,0.42249,2.53077,0.87,0.00042883,0.00042883,0.00042883
32,490.466,0.43992,1.11569,0.93593,0.84468,0.71667,0.90508,0.81538,0.42181,2.38056,0.81906,0.000436653,0.000436653,0.000436653
33,505.595,0.53103,1.17062,0.91728,0.81175,0.822,0.93845,0.86875,0.35883,2.09568,0.76164,0.00044408,0.00044408,0.00044408
34,520.612,0.46802,1.22714,0.921,0.81175,0.822,0.93845,0.86875,0.35883,2.09568,0.76164,0.000451111,0.000451111,0.000451111
35,535.845,0.45741,1.14711,0.9393,0.77468,0.81671,0.92851,0.84321,0.37502,2.00463,0.76787,0.000457746,0.000457746,0.000457746
36,550.777,0.49851,1.07687,0.91556,0.77694,0.83883,0.93066,0.86223,0.41841,2.05523,0.81894,0.000463985,0.000463985,0.000463985
37,565.753,0.48921,1.15051,0.88916,0.77694,0.83883,0.93066,0.86223,0.41841,2.05523,0.81894,0.000469828,0.000469828,0.000469828
38,580.619,0.40857,1.06803,0.87607,0.91864,0.69687,0.90284,0.85182,0.39097,2.03512,0.85528,0.000475275,0.000475275,0.000475275
39,595.682,0.41506,1.08743,0.92208,0.92818,0.7,0.89935,0.8591,0.39365,2.01627,0.84439,0.000480326,0.000480326,0.000480326
40,610.75,0.48008,1.16893,0.93898,0.92818,0.7,0.89935,0.8591,0.39365,2.01627,0.84439,0.000484981,0.000484981,0.000484981
41,625.678,0.46417,1.05213,0.85664,0.80682,0.85728,0.95189,0.89554,0.35525,1.79221,0.76509,0.00048924,0.00048924,0.00048924
42,640.629,0.46975,1.03788,0.86578,0.85194,0.99831,0.99348,0.93523,0.35213,1.49217,0.7593,0.000493103,0.000493103,0.000493103
43,655.565,0.5159,1.19094,0.91634,0.85194,0.99831,0.99348,0.93523,0.35213,1.49217,0.7593,0.00049657,0.00049657,0.00049657
44,670.601,0.40854,1.0647,0.87135,0.91153,0.99932,0.995,0.95206,0.32459,1.26492,0.74817,0.000499641,0.000499641,0.000499641
45,685.619,0.42292,0.93105,0.85535,0.91153,0.99932,0.995,0.95206,0.32459,1.26492,0.74817,0.000502316,0.000502316,0.000502316
46,700.671,0.438,1.02995,0.91447,0.88454,0.99068,0.995,0.95677,0.29961,1.18499,0.73669,0.000504595,0.000504595,0.000504595
47,715.585,0.49622,1.00955,0.94528,0.88454,0.99068,0.995,0.95677,0.29961,1.18499,0.73669,0.000506478,0.000506478,0.000506478
48,730.54,0.4556,1.01975,0.90365,0.87213,0.98961,0.995,0.96503,0.29014,1.20419,0.73802,0.000507965,0.000507965,0.000507965
49,745.528,0.46958,1.06242,0.91789,0.87213,0.98961,0.995,0.96503,0.29014,1.20419,0.73802,0.000509056,0.000509056,0.000509056
50,760.691,0.43001,1.04744,0.87442,0.9297,0.9362,0.995,0.96966,0.27571,1.21061,0.73874,0.000509751,0.000509751,0.000509751
51,775.93,0.39039,0.99725,0.85584,0.9297,0.9362,0.995,0.96966,0.27571,1.21061,0.73874,0.000505,0.000505,0.000505
52,790.911,0.48908,1.08274,0.90177,0.87976,1,0.995,0.96123,0.27311,1.22009,0.73998,0.0004951,0.0004951,0.0004951
53,805.75,0.40911,0.97318,0.86765,0.87976,1,0.995,0.96123,0.27311,1.22009,0.73998,0.0004852,0.0004852,0.0004852
54,820.644,0.43211,1.06244,0.87664,0.89662,1,0.995,0.96588,0.25087,1.20023,0.73546,0.0004753,0.0004753,0.0004753
55,835.456,0.45151,0.96516,0.93266,0.89662,1,0.995,0.96588,0.25087,1.20023,0.73546,0.0004654,0.0004654,0.0004654
56,850.266,0.45849,1.03958,0.91842,0.92883,0.99504,0.995,0.9652,0.27477,1.09392,0.73592,0.0004555,0.0004555,0.0004555
57,865.768,0.40289,1.028,0.9063,0.92883,0.99504,0.995,0.9652,0.27477,1.09392,0.73592,0.0004456,0.0004456,0.0004456
58,880.789,0.44301,1.02624,0.92474,0.91806,0.99355,0.995,0.95922,0.28156,1.04727,0.74031,0.0004357,0.0004357,0.0004357
59,895.763,0.43247,1.02506,0.86035,0.91806,0.99355,0.995,0.95922,0.28156,1.04727,0.74031,0.0004258,0.0004258,0.0004258
60,910.825,0.48239,1.12726,0.94499,0.90869,0.99156,0.995,0.96787,0.27132,1.03462,0.74438,0.0004159,0.0004159,0.0004159
61,925.833,0.37167,0.91488,0.88309,0.90869,0.99156,0.995,0.96787,0.27132,1.03462,0.74438,0.000406,0.000406,0.000406
62,941.035,0.42603,1.05318,0.89047,0.91396,0.99148,0.995,0.96953,0.26118,1.0481,0.74493,0.0003961,0.0003961,0.0003961
63,956.038,0.43777,1.04975,0.89677,0.91396,0.99148,0.995,0.96953,0.26118,1.0481,0.74493,0.0003862,0.0003862,0.0003862
64,971.057,0.4222,0.8777,0.85841,0.91427,1,0.995,0.97053,0.24791,1.07929,0.73847,0.0003763,0.0003763,0.0003763
65,986.117,0.46021,0.93212,0.93766,0.91427,1,0.995,0.97053,0.24791,1.07929,0.73847,0.0003664,0.0003664,0.0003664
66,1001.22,0.47698,0.92018,0.92116,0.90621,0.99437,0.995,0.97136,0.23401,1.08192,0.73085,0.0003565,0.0003565,0.0003565
67,1016.22,0.45566,0.90743,0.91016,0.90621,0.99437,0.995,0.97136,0.23401,1.08192,0.73085,0.0003466,0.0003466,0.0003466
68,1031.21,0.3914,0.87201,0.87074,0.87515,1,0.995,0.97682,0.24169,1.08357,0.72824,0.0003367,0.0003367,0.0003367
69,1046.43,0.37813,0.9351,0.85828,0.87515,1,0.995,0.97682,0.24169,1.08357,0.72824,0.0003268,0.0003268,0.0003268
70,1061.69,0.35911,0.81198,0.8629,0.89127,1,0.995,0.98082,0.24227,1.01998,0.72651,0.0003169,0.0003169,0.0003169
71,1076.63,0.42036,0.90023,0.88198,0.89127,1,0.995,0.98082,0.24227,1.01998,0.72651,0.000307,0.000307,0.000307
72,1092,0.37448,0.86041,0.84972,0.93093,1,0.995,0.99101,0.22257,0.94368,0.72328,0.0002971,0.0002971,0.0002971
73,1106.9,0.40613,0.89545,0.88336,0.93093,1,0.995,0.99101,0.22257,0.94368,0.72328,0.0002872,0.0002872,0.0002872
74,1121.78,0.37636,0.87122,0.85156,0.95833,0.99634,0.995,0.98585,0.20459,0.89239,0.72261,0.0002773,0.0002773,0.0002773
75,1136.7,0.32809,0.86136,0.84376,0.95833,0.99634,0.995,0.98585,0.20459,0.89239,0.72261,0.0002674,0.0002674,0.0002674
76,1151.64,0.45611,0.92867,0.92348,0.96924,1,0.995,0.98004,0.20569,0.87614,0.72337,0.0002575,0.0002575,0.0002575
77,1166.6,0.34948,0.83088,0.86923,0.96924,1,0.995,0.98004,0.20569,0.87614,0.72337,0.0002476,0.0002476,0.0002476
78,1181.55,0.4187,0.861,0.91865,0.97996,1,0.995,0.97683,0.2028,0.84954,0.72473,0.0002377,0.0002377,0.0002377
79,1196.51,0.37978,0.80271,0.86029,0.97996,1,0.995,0.97683,0.2028,0.84954,0.72473,0.0002278,0.0002278,0.0002278
80,1211.42,0.34159,0.942,0.8579,0.98577,1,0.995,0.97988,0.20168,0.83033,0.72543,0.0002179,0.0002179,0.0002179
81,1226.33,0.33642,0.81708,0.86643,0.98577,1,0.995,0.97988,0.20168,0.83033,0.72543,0.000208,0.000208,0.000208
82,1241.22,0.35401,0.78956,0.86315,0.98467,1,0.995,0.98148,0.19492,0.81527,0.72309,0.0001981,0.0001981,0.0001981
83,1256.03,0.30377,0.79099,0.83551,0.98467,1,0.995,0.98148,0.19492,0.81527,0.72309,0.0001882,0.0001882,0.0001882
84,1270.99,0.36831,0.78146,0.87518,0.98473,1,0.995,0.98768,0.19163,0.80306,0.72018,0.0001783,0.0001783,0.0001783
85,1286.6,0.39321,0.81611,0.89879,0.98473,1,0.995,0.98768,0.19163,0.80306,0.72018,0.0001684,0.0001684,0.0001684
86,1301.55,0.29797,0.77059,0.852,0.98506,1,0.995,0.98768,0.1881,0.78893,0.71852,0.0001585,0.0001585,0.0001585
87,1316.42,0.31783,0.74849,0.80848,0.98506,1,0.995,0.98768,0.1881,0.78893,0.71852,0.0001486,0.0001486,0.0001486
88,1331.4,0.31531,0.75892,0.87362,0.98718,1,0.995,0.98768,0.17993,0.78104,0.71692,0.0001387,0.0001387,0.0001387
89,1346.27,0.32777,0.7575,0.86964,0.98718,1,0.995,0.98768,0.17993,0.78104,0.71692,0.0001288,0.0001288,0.0001288
90,1361.27,0.33392,0.80238,0.86434,0.98816,1,0.995,0.98768,0.17652,0.78129,0.71611,0.0001189,0.0001189,0.0001189
91,1376.18,0.25607,1.1673,0.82401,0.98816,1,0.995,0.98768,0.17652,0.78129,0.71611,0.000109,0.000109,0.000109
92,1391.12,0.26334,1.12928,0.809,0.98682,1,0.995,0.98768,0.17645,0.79375,0.71559,9.91e-05,9.91e-05,9.91e-05
93,1406.02,0.22934,1.07077,0.74503,0.98682,1,0.995,0.98768,0.17645,0.79375,0.71559,8.92e-05,8.92e-05,8.92e-05
94,1420.85,0.23391,1.08345,0.81405,0.98268,1,0.995,0.99167,0.17797,0.82311,0.71518,7.93e-05,7.93e-05,7.93e-05
95,1435.73,0.2216,1.075,0.80823,0.98268,1,0.995,0.99167,0.17797,0.82311,0.71518,6.94e-05,6.94e-05,6.94e-05
96,1450.62,0.21615,1.06119,0.79146,0.98058,1,0.995,0.98618,0.18008,0.84176,0.71453,5.95e-05,5.95e-05,5.95e-05
97,1465.52,0.18538,1.03017,0.77086,0.98058,1,0.995,0.98618,0.18008,0.84176,0.71453,4.96e-05,4.96e-05,4.96e-05
98,1480.29,0.24235,1.10403,0.78836,0.97997,1,0.995,0.98618,0.1806,0.85377,0.71408,3.97e-05,3.97e-05,3.97e-05
99,1495.08,0.22306,1.11077,0.81059,0.97997,1,0.995,0.98618,0.1806,0.85377,0.71408,2.98e-05,2.98e-05,2.98e-05
100,1510.03,0.22902,1.11437,0.80152,0.97893,0.99688,0.995,0.98618,0.18011,0.85052,0.71375,1.99e-05,1.99e-05,1.99e-05
